index,review/appearance,review/aroma,review/overall,review/palate,review/taste
13803,3.737572133541107,3.6031851172447205,3.74353289604187,3.624011278152466,3.7097707390785217
13960,3.5382047295570374,3.4196197986602783,3.55292409658432,3.4311145544052124,3.4559202194213867
26737,3.8894036412239075,3.7759247422218323,3.9239758253097534,3.802438974380493,3.873071074485779
5747,3.8424885272979736,3.7396329641342163,3.8592302799224854,3.735145330429077,3.8378912210464478
4074,3.67388516664505,3.675110340118408,3.7237194180488586,3.6361348628997803,3.7484872341156006
33516,3.7494343519210815,3.9337778091430664,3.7936747074127197,3.9360859990119934,4.207356572151184
71,3.759154975414276,3.648298680782318,3.7761107087135315,3.656396269798279,3.742382228374481
34427,4.070078134536743,3.99197518825531,4.080749750137329,3.9762938022613525,4.0846627950668335
1548,3.7613946199417114,3.708198070526123,3.796113133430481,3.6805540323257446,3.8022801280021667
38369,3.840993046760559,3.771370053291321,3.853592872619629,3.732576370239258,3.8605356216430664
14283,3.557351231575012,3.515881896018982,3.458642363548279,3.5487374663352966,3.6122584342956543
27140,3.8178521394729614,3.7205493450164795,3.8357359170913696,3.727715015411377,3.8066482543945312
46488,3.4405332803726196,3.308984935283661,3.440266251564026,3.320288360118866,3.3557233214378357
36855,3.5141721367836,3.398144841194153,3.537934124469757,3.4052327275276184,3.423095941543579
37673,3.582298159599304,3.460560142993927,3.601560592651367,3.479306697845459,3.502660393714905
38584,3.666830062866211,3.53927880525589,3.679893910884857,3.5641074180603027,3.63316148519516
15082,3.8647693395614624,4.002792835235596,3.824244737625122,3.8732898235321045,4.305443465709686
13221,3.1962215900421143,3.1081992387771606,3.229871392250061,3.242543339729309,3.6485499143600464
7194,3.8067859411239624,3.7470579147338867,3.824983239173889,3.7235453724861145,3.814976215362549
19132,3.7303122878074646,3.819098472595215,3.5765618085861206,3.80729079246521,4.029147028923035
5390,3.756866753101349,3.748287856578827,3.66789311170578,3.7714076042175293,3.8806188106536865
4901,3.667351007461548,3.7018412351608276,3.6271515488624573,3.7085551023483276,3.8342517614364624
3995,3.816547691822052,3.807976543903351,3.832436501979828,3.7865442037582397,3.847452402114868
24574,3.645395040512085,3.926054835319519,3.726637363433838,3.9137911796569824,4.184289574623108
16299,3.675711750984192,3.891957998275757,3.555062413215637,3.868796229362488,4.134221076965332
36427,3.5545024275779724,3.4150293469429016,3.572727143764496,3.443971872329712,3.4811019897460938
24604,3.6400404572486877,3.934849798679352,3.7123993039131165,3.9088255167007446,4.181712865829468
13004,3.7389928102493286,3.773212730884552,3.744821548461914,3.7568968534469604,3.868964910507202
27276,3.729960024356842,3.5891136527061462,3.7343817949295044,3.6045658588409424,3.6875131726264954
43658,3.4352055191993713,3.326590359210968,3.4621042013168335,3.3539995551109314,3.367149531841278
36117,3.7797826528549194,3.651192784309387,3.7786799669265747,3.6657997965812683,3.7714987993240356
25930,3.240036368370056,3.089788854122162,3.258676826953888,3.145298659801483,3.3005985617637634
39355,3.838467597961426,3.7451893091201782,3.830699920654297,3.7715697288513184,3.838837146759033
41680,3.8022255897521973,3.6638543009757996,3.813326358795166,3.6953777074813843,3.7648144364356995
13424,3.343859314918518,3.255198299884796,3.2631689310073853,3.193638324737549,3.31603467464447
11705,3.319588005542755,3.208581805229187,3.3371493220329285,3.2179951667785645,3.2240673899650574
7447,3.7711167335510254,3.636922240257263,3.7939590215682983,3.664623200893402,3.7596476078033447
37029,3.171539604663849,3.0388951301574707,3.1986722350120544,3.0518990755081177,3.0859744548797607
24195,3.6364126205444336,3.931066393852234,3.6976629495620728,3.9072173833847046,4.165551066398621
29588,4.014410376548767,3.9226481318473816,4.008224606513977,3.9406684041023254,4.015674591064453
35024,3.592216968536377,3.4946441650390625,3.6161282658576965,3.4971725940704346,3.5365909337997437
11518,3.7695199251174927,3.6552169919013977,3.779880404472351,3.6598896980285645,3.7498700618743896
25039,4.035016894340515,3.974654972553253,4.0543776750564575,3.947322368621826,4.087325632572174
20279,4.186502993106842,4.167338609695435,4.16135847568512,4.148945212364197,4.244855344295502
15335,3.805968165397644,3.9167556166648865,3.696887195110321,3.9149487018585205,4.170116186141968
37429,3.743530511856079,3.6312007904052734,3.75670850276947,3.6349698901176453,3.711838126182556
2341,3.502476215362549,3.4492185711860657,3.535965383052826,3.4968942403793335,3.563370108604431
1882,3.53638231754303,3.3937421441078186,3.5415977239608765,3.4152892231941223,3.4576305747032166
7395,3.5592445731163025,3.4165018796920776,3.5807275772094727,3.4418123960494995,3.491073250770569
48097,3.582523465156555,3.4962591528892517,3.6080867052078247,3.4946969151496887,3.537159562110901
15340,3.811044991016388,3.9064258337020874,3.694397807121277,3.9145833253860474,4.128758013248444
24396,3.820362091064453,3.9628297090530396,3.6929023265838623,3.932444453239441,4.3698954582214355
26985,3.449680805206299,3.339645564556122,3.4940284490585327,3.3925190567970276,3.3784767985343933
47797,3.798936903476715,3.6883020401000977,3.825664222240448,3.710148334503174,3.790566921234131
25245,3.9436984062194824,3.8186806440353394,3.9523309469223022,3.8520008325576782,3.92112135887146
20937,4.20828640460968,4.189524054527283,4.156382977962494,4.1676366329193115,4.233438968658447
21400,4.049099087715149,3.996753692626953,4.009531736373901,4.006856083869934,4.071990251541138
49862,3.63031804561615,3.6622902750968933,3.6666420102119446,3.6612653732299805,3.7609460949897766
28662,3.678593635559082,3.795408606529236,3.6542418599128723,3.7908539175987244,3.9395490288734436
15610,3.8003182411193848,3.867034912109375,3.4768977761268616,3.8532739877700806,4.209878444671631
5578,3.9609137177467346,3.9030200242996216,3.9602845907211304,3.8577455282211304,3.966200351715088
44788,3.467058837413788,3.326742947101593,3.4913912415504456,3.348981738090515,3.3773580193519592
3324,3.6924204230308533,3.7731844186782837,3.640243411064148,3.664464056491852,4.025648236274719
22369,4.079160094261169,4.073604941368103,4.112606346607208,4.010856747627258,4.170268177986145
813,3.729957938194275,3.629518151283264,3.7594032287597656,3.6253002285957336,3.6960649490356445
2845,3.854210376739502,3.8288044929504395,3.863668441772461,3.7908366322517395,3.8822361826896667
22992,3.9465388655662537,3.903154730796814,3.8765311241149902,3.9019688963890076,3.939576745033264
16807,4.025830626487732,3.9528250694274902,4.036854803562164,3.934297561645508,4.063352942466736
37697,3.56167733669281,3.436717987060547,3.5778555274009705,3.4551385045051575,3.4862369298934937
46247,3.6298108100891113,3.5072901844978333,3.6461341381073,3.5208019614219666,3.574608564376831
30581,4.017617106437683,3.980429172515869,4.023240506649017,3.9296239614486694,4.050214886665344
32906,3.788159489631653,3.9115023612976074,3.8066500425338745,3.9141738414764404,4.262297749519348
27228,3.7503159046173096,3.6222004890441895,3.761289119720459,3.6359935998916626,3.711620569229126
15539,3.617805242538452,3.783082664012909,3.645246922969818,3.763943612575531,3.9687079191207886
14033,3.724125623703003,3.698958158493042,3.793500065803528,3.6617442965507507,3.805268108844757
44013,3.183869421482086,3.083658516407013,3.2065099477767944,3.1417593359947205,3.0848097801208496
13048,3.7388235330581665,3.6297252774238586,3.760470747947693,3.6198067665100098,3.715837597846985
25707,4.0745773911476135,4.009653925895691,4.077556133270264,3.981350064277649,4.116547703742981
47760,3.5474741458892822,3.4193313121795654,3.5615599155426025,3.439975082874298,3.4725230932235718
38138,3.7334030866622925,3.6307334899902344,3.7496477365493774,3.6305364966392517,3.7085771560668945
18755,3.7537747621536255,3.876773416996002,3.6830008029937744,3.8828909397125244,4.102630019187927
